3c156edb97e5ec9d141351d33a height=766064 version=0x251f2000 log2_work=93.880167 tx=785818128 date='2022-12-05T23:28:49Z' progress=0.980601 cache=564.5MiB(4201062txo)
2023-02-05T11:24:45Z UpdateTip: new best=00000000000000000000940fbddbc8f05158495383529984cfa072d46d785aa4 height=766085 version=0x27560000 log2_work=93.880426 tx=785845006 date='2022-12-06T02:24:52Z' progress=0.980639 cache=567.2MiB(4221857txo)
2023-02-05T11:24:46Z UpdateTip: new best=00000000000000000006bff91ad29284ae071eda28e6f244b63380906a507374 height=766086 version=0x3fffe000 log2_work=93.880437 tx=785846326 date='2022-12-06T02:34:59Z' progress=0.980641 cache=567.4MiB(4224123txo)
2023-02-05T11:24:46Z UpdateTip: new best=0000000000000000000484378ca283f5188b97e1dd1895148b14a4da2ecdaba6 height=766087 version=0x2b446000 log2_work=93.880449 tx=785848894 date='2022-12-06T03:07:03Z' progress=0.980648 cache=568.1MiB(4229464txo)
2023-02-05T11:24:47Z UpdateTip: new best=000000000000000000060c4736323b409e95d8fb5fd7582081f541690ed9b319 height=766088 version=0x21bb2000 log2_work=93.880461 tx=785850478 date='2022-12-06T03:10:58Z' progress=0.980649 cache=568.2MiB(4230612txo)
2023-02-05T11:24:47Z UpdateTip: new best=0000000000000000000421e5754891d4d4210b394291da6908064427c34fd1f4 height=766089 version=0x23824000 log2_work=93.880472 tx=785851500 date='2022-12-06T03:18:18Z' progress=0.980651 cache=568.3MiB(4230754txo)
2023-02-05T11:24:47Z UpdateTip: new best=00000000000000000001ff734ef8445cbb74c93cfef3476eacbe063cc49360ef height=766090 version=0x2888a000 log2_work=93.880484 tx=785852730 date='2022-12-06T03:28:50Z' progress=0.980653 cache=568.6MiB(4233425txo)
2023-02-05T11:24:48Z UpdateTip: new best=00000000000000000003aa2e878a60c82c5c5e8b33593418dc243182fc4efe87 height=766091 version=0x20800004 log2_work=93.880495 tx=785853758 date='2022-12-06T03:36:49Z' progress=0.980655 cache=569.2MiB(4238047txo)
2023-02-05T11:24:48Z UpdateTip: new best=00000000000000000007fb1d5faf0a5b3f3a3ee67cfffe9a2246ac35f7305290 height=766092 version=0x20a00000 log2_work=93.880507 tx=785854747 date='2022-12-06T03:44:52Z' progress=0.980657 cache=569.4MiB(4239836txo)
2023-02-05T11:24:48Z UpdateTip: new best=000000000000000000041041b74ee0c13ac93fb03f495eac4553808c2b42c85a height=766093 version=0x20000000 log2_work=93.880519 tx=785855048 date='2022-12-06T03:47:10Z' progress=0.980657 cache=569.5MiB(4240792txo)
2023-02-05T11:24:49Z UpdateTip: new best=000000000000000000056929ed5c53c278897137141bc26ec850fab742b0d840 height=766094 version=0x3fffe004 log2_work=93.880530 tx=785856988 date='2022-12-06T04:05:45Z' progress=0.980661 cache=569.7MiB(4242706txo)
